time,over $1K,over $10K,over $100K,over $1M,over $10M
2010-07-18,18,0,0,0,0
2010-07-19,19,0,0,0,0
2010-07-20,17,0,0,0,0
2010-07-21,18,0,0,0,0
2010-07-22,14,0,0,0,0
2010-07-23,16,0,0,0,0
2010-07-24,14,0,0,0,0
2010-07-25,13,0,0,0,0
2010-07-26,15,0,0,0,0
2010-07-27,16,0,0,0,0
2010-07-28,17,0,0,0,0
2010-07-29,18,0,0,0,0
2010-07-30,18,0,0,0,0
2010-07-31,18,0,0,0,0
2010-08-01,18,0,0,0,0
2010-08-02,18,0,0,0,0
2010-08-03,18,0,0,0,0
2010-08-04,15,0,0,0,0
2010-08-05,18,0,0,0,0
2010-08-06,18,0,0,0,0
2010-08-07,17,0,0,0,0
2010-08-08,18,0,0,0,0
2010-08-09,18,0,0,0,0
2010-08-10,18,0,0,0,0
2010-08-11,19,0,0,0,0
2010-08-12,19,0,0,0,0
2010-08-13,19,0,0,0,0
2010-08-14,19,0,0,0,0
2010-08-15,19,0,0,0,0
2010-08-16,18,0,0,0,0
2010-08-17,18,0,0,0,0
2010-08-18,18,0,0,0,0
2010-08-19,18,0,0,0,0
2010-08-20,18,0,0,0,0
2010-08-21,18,0,0,0,0
2010-08-22,18,0,0,0,0
2010-08-23,18,0,0,0,0
2010-08-24,18,0,0,0,0
2010-08-25,18,0,0,0,0
2010-08-26,18,0,0,0,0
2010-08-27,18,0,0,0,0
2010-08-28,18,0,0,0,0
2010-08-29,18,0,0,0,0
2010-08-30,18,0,0,0,0
2010-08-31,18,0,0,0,0
2010-09-01,18,0,0,0,0
2010-09-02,18,0,0,0,0
2010-09-03,18,0,0,0,0
2010-09-04,18,0,0,0,0
2010-09-05,18,0,0,0,0
2010-09-06,18,0,0,0,0
2010-09-07,18,0,0,0,0
2010-09-08,18,0,0,0,0
2010-09-09,18,0,0,0,0
2010-09-10,18,0,0,0,0
2010-09-11,18,0,0,0,0
2010-09-12,18,0,0,0,0
2010-09-13,18,0,0,0,0
2010-09-14,18,0,0,0,0
2010-09-15,18,0,0,0,0
2010-09-16,18,0,0,0,0
2010-09-17,19,0,0,0,0
2010-09-18,19,0,0,0,0
2010-09-19,19,0,0,0,0
2010-09-20,19,0,0,0,0
2010-09-21,19,0,0,0,0
2010-09-22,19,0,0,0,0
2010-09-23,20,0,0,0,0
2010-09-24,20,0,0,0,0
2010-09-25,20,0,0,0,0
2010-09-26,22,0,0,0,0
2010-09-27,23,0,0,0,0
2010-09-28,23,0,0,0,0
2010-09-29,23,0,0,0,0
2010-09-30,22,0,0,0,0
2010-10-01,22,0,0,0,0
2010-10-02,20,0,0,0,0
2010-10-03,20,0,0,0,0
2010-10-04,20,0,0,0,0
2010-10-05,21,0,0,0,0
2010-10-06,20,0,0,0,0
2010-10-07,23,0,0,0,0
